Name,CSD_Refcode,Database_Acronym,Generic_Identity,Calculation_Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal_Structure_File_Type,Crystal_Structure_Availability,matched_not_open_in_col,OOD_flag
GUJVIR_CoRE,GUJVIR,CoRE,Real,Crystallographic properties,1.50557,0.0,0.0,0.224643,0.29961,3.94229,2.80491,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
OFUSAL_CoRE,OFUSAL,CoRE,Real,Crystallographic properties,1.7346,0.0,0.0,0.201854,0.257844,3.6125,2.80456,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
PUQHIT_CoRE,PUQHIT,CoRE,Real,Crystallographic properties,1.49051,0.0,0.0,0.194055,0.289657,4.11931,2.80454,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
OKIPOO_CoRE,OKIPOO,CoRE,Real,Crystallographic properties,1.3218,0.0,0.0,0.217965,0.318356,5.15858,2.8039,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
QIYQAR_CoRE,QIYQAR,CoRE,Real,Crystallographic properties,1.82518,0.0,0.0,0.255146,0.260891,3.54215,2.80365,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
RAXDAX_CoRE,RAXDAX,CoRE,Real,Crystallographic properties,1.43873,0.0,0.0,0.144704,0.28043,3.78,2.80345,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
VORBUA_CoRE,VORBUA,CoRE,Real,Crystallographic properties,1.80701,0.0,0.0,0.167497,0.25752,3.50756,2.8028,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
LETPOR_CoRE,LETPOR,CoRE,Real,Crystallographic properties,1.31092,0.0,0.0,0.574744,0.522658,4.39857,2.80187,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
JEJKEP_CoRE,JEJKEP,CoRE,Real,Crystallographic properties,1.42573,0.0,0.0,0.344166,0.32156,5.0932,2.80032,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
KEXKEF_CoRE,KEXKEF,CoRE,Real,Crystallographic properties,1.24139,0.0,0.0,0.339469,0.421582,4.72338,2.79989,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
ZASWOF_CoRE,ZASWOF,CoRE,Real,Crystallographic properties,3.21652,0.0,0.0,0.222229,0.152083,3.26494,2.79891,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
CAKXOD_CoRE,CAKXOD,CoRE,Real,Crystallographic properties,2.00641,0.0,0.0,0.270004,0.227206,4.11875,2.79775,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
QOHTOX_CoRE,QOHTOX,CoRE,Real,Crystallographic properties,1.18737,0.0,0.0,0.283746,0.403917,3.99648,2.79601,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
XOSQUR_CoRE,XOSQUR,CoRE,Real,Crystallographic properties,2.76683,0.0,0.0,0.127108,0.131763,4.37136,2.79578,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
