name,csd_refc,db_acr,gt,calc_type,Density,GSA,VSA,VF,PV,LCD,PLD,ug_at_tps,uv_at_tps,source,csft,csa,sample_weight_ug_at_tps,sample_weight_uv_at_tps
YAPYUK_CoRE,YAPYUK,CoRE,Real,Grand Canonical Monte Carlo,1.54,0.0,0.0,0.18,0.26,3.81,2.52,0.91,14.13,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
YAZWOM_CoRE,YAZWOM,CoRE,Real,Grand Canonical Monte Carlo,1.42,203.1,289.4,0.19,0.32,4.59,4.2,0.98,14.13,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
ECUCOV_CoRE,ECUCOV,CoRE,Real,Grand Canonical Monte Carlo,1.96,0.0,0.0,0.16,0.2,3.75,2.59,0.71,14.12,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
VEQCAW_CoRE,VEQCAW,CoRE,Real,Grand Canonical Monte Carlo,1.83,0.0,0.0,0.16,0.23,5.44,3.65,0.76,14.12,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
ZIDVAL_CoRE,ZIDVAL,CoRE,Real,Grand Canonical Monte Carlo,1.34,0.0,0.0,0.28,0.31,5.33,3.58,1.04,14.11,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
ISUXAW_CoRE,ISUXAW,CoRE,Real,Grand Canonical Monte Carlo,2.26,0.0,0.0,0.12,0.17,3.25,2.51,0.62,14.1,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
UNACIW_CoRE,UNACIW,CoRE,Real,Grand Canonical Monte Carlo,1.55,0.0,0.0,0.25,0.26,4.07,3.34,0.9,14.09,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
WUCRUH_CoRE,WUCRUH,CoRE,Real,Grand Canonical Monte Carlo,1.71,135.3,231.4,0.28,0.22,4.32,3.81,0.81,14.09,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
XOVXAI_CoRE,XOVXAI,CoRE,Real,Grand Canonical Monte Carlo,1.83,0.0,0.0,0.24,0.2,4.18,3.1,0.76,14.09,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
GIRGUL_CoRE,GIRGUL,CoRE,Real,Grand Canonical Monte Carlo,1.4,0.0,0.0,0.17,0.3,4.0,3.26,0.99,14.08,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
DAPXEZ_CoRE,DAPXEZ,CoRE,Real,Grand Canonical Monte Carlo,2.24,0.0,0.0,0.45,0.22,4.83,3.28,0.62,14.07,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
UNABUH01_CoRE,UNABUH01,CoRE,Real,Grand Canonical Monte Carlo,1.56,0.0,0.0,0.25,0.26,4.06,3.34,0.89,14.07,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
ADIQEL_CoRE,ADIQEL,CoRE,Real,Grand Canonical Monte Carlo,1.24,371.4,459.7,0.43,0.39,4.43,3.91,1.11,14.06,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
DODHUA_CoRE,DODHUA,CoRE,Real,Grand Canonical Monte Carlo,1.56,0.0,0.0,0.18,0.26,3.83,2.64,0.89,14.05,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
LEGGOU_CoRE,LEGGOU,CoRE,Real,Grand Canonical Monte Carlo,1.64,0.0,0.0,0.19,0.27,4.37,2.43,0.85,14.05,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
MIGVON_CoRE,MIGVON,CoRE,Real,Grand Canonical Monte Carlo,1.1,0.0,0.0,0.28,0.46,4.84,2.49,1.25,14.05,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
PAPVEJ_CoRE,PAPVEJ,CoRE,Real,Grand Canonical Monte Carlo,1.47,0.0,0.0,0.3,0.3,4.81,3.06,0.94,14.05,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
